City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Murgab,TM,37.4966,61.9714,102.42,9,0,7.9,clear sky
80,Qaqortoq,GL,60.7167,-46.0333,44.82,87,24,6.51,few clouds
81,Port Augusta,AU,-32.5,137.7667,66.94,45,97,20.74,overcast clouds
82,Akdepe,TM,42.0551,59.3788,105.19,12,0,6.04,clear sky
83,Taoudenni,ML,22.6783,-3.9836,89.42,43,21,8.63,few clouds
84,Njombe,TZ,-9.3333,34.7667,50.18,91,28,8.19,scattered clouds
85,Baiyin,CN,36.5583,104.2081,71.06,37,0,5.55,clear sky
86,Nouadhibou,MR,20.931,-17.0347,73.38,94,4,4.61,clear sky
87,Alice Springs,AU,-23.7,133.8833,74.75,17,0,3.44,clear sky
88,Kabo,CF,7.6994,18.629,70.05,99,100,1.9,moderate rain
89,Saint-Augustin,CA,51.226,-58.6502,59.34,73,98,4.83,overcast clouds
90,Silvassa,IN,20.2667,73.0167,83.91,72,100,10.56,overcast clouds
91,Changde,CN,29.0464,111.6783,96.93,52,72,13.62,broken clouds
92,Bonnyville,CA,54.2668,-110.735,69.6,59,99,10.47,overcast clouds
93,Kisangani,CD,0.5167,25.2,70.92,97,100,3.13,overcast clouds
94,College,US,64.8569,-147.8028,64.72,66,75,4.61,light rain
95,Ankazobe,MG,-18.3167,47.1167,53.42,78,28,9.01,scattered clouds
96,Raton,US,36.9034,-104.4391,70.14,80,0,8.05,clear sky
97,Biak,ID,-0.9131,122.8766,80.83,77,43,9.19,scattered clouds
98,La Ronge,CA,55.1001,-105.2842,59.25,72,40,8.05,scattered clouds
99,Ipora,BR,-16.4419,-51.1178,64.35,45,20,4.63,few clouds
100,Athabasca,CA,54.7169,-113.2854,57.61,57,92,5.55,overcast clouds
101,Kralendijk,BQ,12.15,-68.2667,82.38,89,75,14.97,broken clouds
102,Wlodawa,PL,51.55,23.55,66.94,72,5,1.97,clear sky
103,Te Anau,NZ,-45.4167,167.7167,41.94,90,70,1.97,broken clouds
104,Itaperucu,BR,-25.22,-49.3478,58.91,98,84,0.2,broken clouds
105,Teguldet,RU,57.3064,88.1667,60.87,97,100,7.07,light rain
106,Timra,SE,62.487,17.3257,58.68,67,100,11.5,overcast clouds
107,Kemijarvi,FI,66.7131,27.4306,64.29,88,96,5.79,overcast clouds
108,Touros,BR,-5.1989,-35.4608,72.0,92,100,9.75,overcast clouds
109,Iguatemi,BR,-23.6803,-54.5611,68.16,53,68,4.12,broken clouds
110,Mareeba,AU,-17.0,145.4333,79.45,57,23,2.24,few clouds
111,Aswan,EG,24.0934,32.907,86.99,23,0,15.3,clear sky
112,Vardo,NO,70.3705,31.1107,55.38,94,100,6.91,overcast clouds
113,Lompoc,US,34.6391,-120.4579,59.14,95,100,8.05,mist
114,Ketchikan,US,55.3422,-131.6461,57.67,88,20,0.0,few clouds
115,Ipira,BR,-12.1583,-39.7372,65.64,90,86,5.03,overcast clouds
116,La Union,PE,-5.4,-80.75,63.5,78,36,11.45,scattered clouds
117,Chegdomyn,RU,51.1167,133.0167,76.69,48,44,5.19,scattered clouds
118,Kjollefjord,NO,70.9457,27.3465,53.65,94,75,20.71,light intensity drizzle
